"Time","PESCO","TESCO","IESCO","GEPCO","LESCO","FESCO","MEPCO","SEPCO","HESCO","QESCO"
"2021-02-20 00:00:00",902.576886961108,100.061270175251,711.251130168882,589.430028132551,1554.11208438251,964.768301346001,995.223582778155,193.596157505556,407.946750634991,380.511975491202
"2021-02-20 01:00:00",900.170147237262,106.882991970801,671.304365085388,560.731818571068,1479.24086435318,936.100377459505,938.593608525367,183.295098256469,412.445940776193,377.665931205939
"2021-02-20 02:00:00",888.684636982498,102.513100166665,659.605900359673,551.916468806738,1454.86974652199,924.823653082247,913.316036290128,180.021173715652,420.804180783132,357.06954560302
"2021-02-20 03:00:00",924.462153264646,102.324033925091,655.365970244107,546.451251252822,1427.56085021651,922.567351054091,902.987450296696,176.628480419011,402.310931046705,346.044544729012
"2021-02-20 04:00:00",857.140262632065,100.625917647489,669.514102219015,546.451251252822,1423.65216366925,934.050659339926,912.402605355571,196.120792413942,376.588970163848,349.646836288358
"2021-02-20 05:00:00",983.460711999008,98.9340607311559,732.699751121135,593.785446521851,1473.06105764727,978.06032018997,990.389750991146,203.5093610913,357.387033576781,345.15068302636
"2021-02-20 06:00:00",1115.85932164577,97.8096303164084,876.322848055182,744.184857801003,1643.98053550099,1121.45011090093,1240.93069749923,187.531580178088,320.225208143418,361.699945749239
"2021-02-20 07:00:00",1184.82812804602,97.9968424822332,958.798670953316,859.123925100405,1794.44297097972,1234.05822400875,1393.58721119008,175.819485360589,286.731691019885,363.068939683518
"2021-02-20 08:00:00",1249.03586496461,101.568542411134,1013.46717385984,917.069366243481,1917.50850887839,1310.01377985037,1446.97720951106,204.736792019598,359.175248858072,357.793589386964
"2021-02-20 09:00:00",1225.3946440488,99.8732088625987,967.277790896498,1012.6869856732,2058.2175158253,1401.08000556621,1583.71904290293,235.604579394852,455.367700148511,392.061517449611
"2021-02-20 10:00:00",1077.95263139844,102.135045037179,900.810624864938,1074.82882042377,2076.05057602537,1441.50195803668,1635.81904151786,237.577874278546,438.449559242498,531.966616271486
"2021-02-20 11:00:00",1130.49138319901,106.120066791608,875.873100372664,1084.4335492456,2121.28288375727,1468.42694614759,1630.50243867965,242.419863290258,438.623143246163,586.937954943093
"2021-02-20 12:00:00",1093.31577415048,99.8732088625987,860.414582939183,1064.11511062497,2133.84039134291,1452.90961301158,1609.95847021434,231.858091801151,414.234788842408,538.569132861781
"2021-02-20 13:00:00",1021.55041135502,105.739069303457,843.440439162315,1047.31048443898,2116.68387695797,1421.21211420667,1579.33477923835,250.304175450297,366.476907794612,525.390757954272
"2021-02-20 14:00:00",1038.53127126469,105.739069303457,880.826925229748,1054.64953855893,2101.67871280958,1425.15501955085,1558.80857926751,261.083653558962,385.944441858922,462.272261718039
"2021-02-20 15:00:00",1134.00614939635,95.3828883455583,878.573351496319,1072.26159110185,2066.83622567746,1427.12590805223,1581.52293080963,247.803971328519,426.956352599467,411.814995752868
"2021-02-20 16:00:00",1063.54428503892,93.8959790926477,903.329362465276,1047.31048443898,2117.25190517035,1384.86733720171,1607.15413031342,239.773846155338,416.551521533635,365.42341968066
"2021-02-20 17:00:00",1216.65940153263,103.080763096713,952.677590761044,1026.2491248624,2132.86658827435,1355.74138177498,1559.5134602472,209.58350656369,398.086821387097,363.300308199551
"2021-02-20 18:00:00",1273.92591446536,102.135045037179,1092.4128821822,1049.90323961291,2143.02480769075,1402.6603962119,1574.50024653848,252.313481504019,431.147741670538,447.042673487086
"2021-02-20 19:00:00",1281.07607543397,102.891464744187,1091.61079431202,996.833757440595,2080.95565268391,1345.81670614791,1537.31948244143,271.972439825116,431.496237175794,495.481067181793
"2021-02-20 20:00:00",1246.25667920635,105.358381803256,1051.05656413206,921.893336726484,1971.58774705778,1277.69352796335,1427.74362691934,275.347689330591,406.860968884296,521.024896652936
